,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Zfp260,0.563541936,0.457043378,0.528421437,0.566294308,0.583502306,0.547199634,0.432008394,0.394736044,0.433383208,0.592642938,0.596347153,0.533748201,0.574205467,0.617716794,0.618598895
Ovol3,0.005878172,0,0.028267857,0.041552653,0,0.023501049,0,0.006603779,0.023154393,0.007750535,0.010216276,0.0027505,0.022037136,0.00143911,0.028850222
Gm5113,0.007342569,0.007734921,0.004673392,0.020990765,0.009908338,0.011717626,0.022230468,0.018499465,0.012192911,0.010203419,0.002815015,0.009852424,0.013300922,0.015068347,0.034116401
Capns1,1.705778726,1.621492642,1.723182104,0.970233973,1.086012785,1.066442632,1.291033262,1.301596401,1.185774622,1.266922648,1.122882972,1.063582943,1.507142141,1.882294635,1.557354928
Polr2i,0.748096571,0.609233308,0.555538806,0.296354211,0.303706439,0.481545817,0.673763664,0.709090471,0.68746136,0.534343817,0.568733443,0.597216888,0.715993118,1.069711409,0.634427481
Cox7a1,0.046548135,0,0.033410123,0.004911158,0.043619325,0.0158721,0.018337595,0.019512716,0.049259625,0.00763371,0.003018685,0.029257646,0.035348087,0.040821634,0.025573821
Tbcb,0.60860103,0.621517728,0.516108849,0.397421115,0.393126553,0.41163142,0.572647833,0.598215005,0.600519313,0.490922923,0.566754225,0.526903545,0.666308627,0.833927405,0.61183058
Zfp146,0.58499916,0.47887493,0.534598506,0.605528599,0.620167343,0.617681326,0.653539411,0.59052666,0.798787412,0.608730377,0.482332092,0.642870973,0.571119216,0.515922674,0.732715365
Syne4,0.012682433,0,0.007623654,0.040343314,0.003828166,0.014487035,0.042680321,0.041853395,0.059115422,0.06549507,0.0399513,0.041540337,0.015282694,0.024063343,0.005835536
Clip3,0.002504476,0.001866853,0,0.025985016,0.015216958,0.028608411,0.213453908,0.223729001,0.132385241,0.307497209,0.255901587,0.193361569,0.033532942,0.023339352,0.021064975
