,nik_s1,nik_s2,nik_s3,ctr_s1,ctr_s2,ctr_s3,nik_t3,ikk_t2,ikk_t3,ctr_t1,ctr_t2,ctr_t3,nik_t1,nik_t2
2310039H08Rik,0.438722953,0.412430547,0.651282201,0.195923625,0.444420148,0.458498413,0.358920412,0.688678516,0.825212058,0.937915885,0.734166475,0.556914524,0.567852422,0.514585431
Klhdc3,0.654857307,0.743529889,0.678336249,0.90083505,1.001216419,0.835114391,0.747659696,0.736490035,0.849506226,0.55855893,0.756988401,0.614118701,0.665562811,0.768637462
Pex6,0.206127447,0.151658602,0.176247261,0.187889734,0.156347254,0.207031203,0.141323478,0.217049715,0.212089949,0.171972523,0.182726926,0.155963981,0.171515374,0.294792025
Ptcra,0.02739134,0.027557654,0.001541233,0.011011577,0,0.015500257,0.004246853,0,0,0.001811869,0.004404613,0,0.003467871,0.013488875
Tbcc,2.199869863,2.080535782,1.380323805,2.132310535,1.256309532,1.972421007,2.332011375,2.391629659,1.993310894,2.477914372,3.1849148,2.431635349,1.732780797,2.228509944
Ubr2,0.635096919,0.58867557,0.56019091,0.853606851,0.613201498,0.774612252,0.409521244,0.362491399,0.336091198,0.444417577,0.414025327,0.367690894,0.513365469,0.522204756
Mrps10,0.368956441,0.233092463,0.405940438,0.213334303,0.113627129,0.22264905,0.587110273,0.399117625,0.450819281,0.37683118,0.305906205,0.301682777,0.515174984,0.362981689
1700001C19Rik,0.000865915,0.009377203,0,0.000378642,0,0.006481137,0,0.001428324,0.000955176,0.001183748,0.000479611,0,0.00254887,0.00146878
Guca1a,0.001041308,0.010825513,0,0.001024506,0,0.003288054,0.001501468,0,0.001230695,0.000533819,0,0,0.002298862,0.001545499
Guca1b,0.015962972,0.021964269,0.004094695,0.024635941,0.008128368,0.024378886,0.009026315,0.000844841,0.001331734,0.00385097,0.00156027,0,0.022111967,0.027873051
Taf8,0.324287788,0.383326518,0.288395975,0.395337939,0.205333467,0.344621751,0.368077822,0.240887826,0.251721962,0.400488094,0.333215225,0.246608777,0.349525954,0.365858642
Frs3,0.011188956,0.049678856,0.004472576,0.003057896,0.00100892,0.004579875,0.000896301,0.000209729,0.001763193,0.003345967,0,0,0.005489223,0.006326302
Usp49,0.033629892,0.034632058,0.034642615,0.020559895,0.0308966,0.030721753,0.027447816,0.016499,0.018298307,0.030056396,0.01806452,0.02056084,0.038724987,0.052630815
Med20,0.178418466,0.181452885,0.181459869,0.280936232,0.236826114,0.27527355,0.291351275,0.199662559,0.186769054,0.217584533,0.210840662,0.237776833,0.261505182,0.248594337
Tomm6,2.962011261,2.373207053,3.671837213,2.443924965,4.389817967,3.101867608,3.836974657,4.107772797,4.90005129,4.157426035,4.143341682,3.911182274,3.70400841,3.52041642
Bysl,0.340965961,0.311605946,0.435854227,0.414679432,0.255032825,0.37837348,0.850041111,0.583295132,0.635642463,0.373873123,0.413663378,0.427359423,0.553185514,0.495518177
Frs3os,0.059683866,0.091246756,0.003061926,0.027633354,0,0.002463516,0,0,0.008298689,0.016198167,0,0,0.013779051,0.05061842
Tomm6os,0.012284823,0.042571313,0.016963989,0.033573916,0.004430944,0.008620177,0.053140678,0.02671135,0.018390889,0.001049622,0.006804287,0.002241389,0.030134238,0.045148428
Tfeb,0.040450757,0.039716637,0.022399216,0.033859964,0.036127509,0.01901279,0.029996325,0.035932437,0.034118025,0.032520587,0.035065233,0.024038743,0.04699766,0.052494617
Pgc,0.014894202,0.006048486,0.00608899,0.002442315,0,0.003919185,0.006263845,0,0.003080539,0.003817707,0,0,0.027401215,0.015000388
